MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_CARULLA,USERS_CARULLA,ORDERS_CARULLA,TOTAL_PRICE_USD_CARULLA,SOLD_UNITS_CARULLA,AVG_TICKET_CARULLA,MDOWN_AVG_CARULLA,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FRQUENCY_TURBO,AOV_CARULLA,BASKET_SIZE_CARULLA,FRQUENCY_CARULLA
2022-07-01,Costa,CERVEZAS,21,2093,3440,28855.84,7131,4.094757037,0.09116590572,18,668,822,7670.18,2007,3.888747061,0.08440965473,1.052975926,8.38832558,2.072965,1.643574,9.33111922,2.441606,1.230539
2022-07-01,Medellín,CERVEZAS,45,14241,25610,168727.21,44238,3.87921877,0.07749529843,37,1672,2013,14285.89,3714,3.905013502,0.07276046981,0.9933944576,6.58833307,1.727372,1.798329,7.0968157,1.845007,1.203947
2022-08-01,Bogotá,CERVEZAS,27,532,856,7049.25,1734,4.15213959,0.1287123302,24,243,308,3006.01,751,4.024774886,0.1246855627,1.031645175,8.23510514,2.025701,1.609023,9.75977273,2.438312,1.26749
2022-08-01,Bogotá,CERVEZAS,47,28455,47828,397571.78,97667,4.128321994,0.09603430878,38,3858,4556,37045.5,9191,4.077434098,0.1191259927,1.012480373,8.31253199,2.042046,1.680829,8.13114574,2.01734,1.180923
2022-08-01,Cali y Bucaramanga,CERVEZAS,34,4076,6911,50697.14,12206,4.208541722,0.1014123932,27,443,518,4481.26,1120,4.054467489,0.1092940264,1.038001102,7.33571697,1.76617,1.695535,8.65108108,2.162162,1.1693
2022-08-01,Costa,CERVEZAS,29,1935,3281,29603.07,7255,4.142583016,0.09255084702,25,562,742,7992.43,2096,3.951480455,0.1116231986,1.048362269,9.02257543,2.211216,1.695607,10.771469,2.824798,1.320285
2022-08-01,Costa,CERVEZAS,26,4382,7801,63389.08,16285,4.043379225,0.1129448089,21,392,448,4033.24,998,4.031899338,0.1500441366,1.002847265,8.12576336,2.087553,1.780237,9.00276786,2.227679,1.142857
2022-08-01,Medellín,CERVEZAS,45,14198,25027,173264.48,44016,3.992724141,0.08391146107,39,1745,2026,14774.58,3724,4.0192038,0.08046685186,0.9934117152,6.92310225,1.758741,1.762713,7.29248766,1.838105,1.161032
2022-09-01,Bogotá,CERVEZAS,51,31292,53596,478821.76,119435,4.176419872,0.1381458725,44,4274,5205,46730.78,12103,4.000299792,0.1380601509,1.04402672,8.9339085,2.228431,1.71277,8.97805572,2.325264,1.217829
2022-09-01,Bogotá,CERVEZAS,29,524,866,7565.72,1904,4.118018871,0.1681050753,27,230,304,2885.37,755,4.001791126,0.1447490642,1.029043931,8.73639723,2.198614,1.652672,9.49134868,2.483553,1.321739
2022-09-01,Cali y Bucaramanga,CERVEZAS,32,4548,7811,57730.41,15482,4.041675737,0.1383180296,27,473,575,4827.11,1283,3.922599941,0.1528422062,1.030356345,7.39091154,1.982077,1.717458,8.39497391,2.231304,1.215645
2022-09-01,Costa,CERVEZAS,31,5045,8702,71667.72,17547,4.149554359,0.1512968446,28,606,736,6206.62,1786,3.724472183,0.1541946979,1.114132193,8.23577568,2.016433,1.724876,8.43290761,2.42663,1.214521
2022-09-01,Costa,CERVEZAS,29,2047,3586,31089.5,8003,3.944801212,0.1450973556,27,625,834,7634.83,2143,3.79614994,0.1339705408,1.03915843,8.66968767,2.231735,1.751832,9.15447242,2.569544,1.3344
2022-09-01,Medellín,CERVEZAS,47,14743,25567,177796.38,45421,3.978434158,0.1398531659,40,2151,2486,18242.82,4624,4.026953214,0.1326271742,0.9879514231,6.95413541,1.776548,1.734179,7.33822204,1.860016,1.155742
2022-10-01,Bogotá,CERVEZAS,30,541,890,7538.4,1832,4.25793389,0.170267305,27,273,340,3497.82,833,4.232474471,0.1509122136,1.006015256,8.47011236,2.058427,1.645102,10.28770588,2.45,1.245421
