MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_SUPER,USERS_SUPER,ORDERS_SUPER,TOTAL_PRICE_USD_SUPER,SOLD_UNITS_SUPER,AVG_TICKET_SUPER,MDOWN_AVG_SUPER,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FREQUENCY_TURBO,AOV_SUPER,BASKET_SIZE_SUPER,FREQUENCY_SUPER
2022-07-01,Medellín,CERVEZAS,45,14241,25610,168727.21,44238,3.87921877,0.07749529843,41,3350,4169,31232.94,8498,3.771623501,0.1003879015,1.028527574,6.58833307,1.727372,1.798329,7.49171024,2.038379,1.244478
2022-07-01,Medellín,CERVEZAS,28,302,427,2407.29,653,3.747842672,0.05743987026,19,105,126,849.69,241,3.57881338,0.05624447684,1.047230541,5.6376815,1.529274,1.413907,6.74357143,1.912698,1.2
2022-08-01,Bogotá,CERVEZAS,27,532,856,7049.25,1734,4.15213959,0.1287123302,24,282,342,2981.66,743,3.999320141,0.0795691385,1.038211357,8.23510514,2.025701,1.609023,8.71830409,2.172515,1.212766
2022-08-01,Bogotá,CERVEZAS,47,28455,47828,397571.78,97667,4.128321994,0.09603430878,43,5561,6427,48192.97,12513,3.91596893,0.07508083449,1.054227464,8.31253199,2.042046,1.680829,7.49851719,1.946943,1.155727
2022-08-01,Cali y Bucaramanga,CERVEZAS,34,4076,6911,50697.14,12206,4.208541722,0.1014123932,31,941,1132,8275.83,2210,3.841978596,0.06259975383,1.095409986,7.33571697,1.76617,1.695535,7.31080389,1.952297,1.202976
2022-08-01,Cali y Bucaramanga,CERVEZAS,31,919,1591,14953.76,3813,4.072193851,0.1272388182,26,376,494,6397.79,1922,3.688762191,0.05177742527,1.103945888,9.3989692,2.396606,1.73123,12.9509919,3.890688,1.31383
2022-08-01,Costa,CERVEZAS,29,1935,3281,29603.07,7255,4.142583016,0.09255084702,26,588,732,6141.75,1666,3.81057529,0.03836695505,1.087127979,9.02257543,2.211216,1.695607,8.39036885,2.275956,1.244898
2022-08-01,Costa,CERVEZAS,26,4382,7801,63389.08,16285,4.043379225,0.1129448089,22,716,801,5854.25,1603,3.732547276,0.06064477026,1.083276092,8.12576336,2.087553,1.780237,7.30867665,2.001248,1.118715
2022-08-01,Medellín,CERVEZAS,29,339,488,3072.19,783,3.960018069,0.09538837317,20,117,131,817.25,234,3.592189845,0.03053198105,1.102396655,6.29547131,1.604508,1.439528,6.23854962,1.78626,1.119658
2022-08-01,Medellín,CERVEZAS,45,14198,25027,173264.48,44016,3.992724141,0.08391146107,41,3151,3769,25796.48,6881,3.793997425,0.06808214217,1.052379244,6.92310225,1.758741,1.762713,6.84438313,1.825683,1.196128
2022-09-01,Bogotá,CERVEZAS,51,31292,53596,478821.76,119435,4.176419872,0.1381458725,47,6023,7259,58464.69,15675,3.861229216,0.09434120966,1.081629616,8.9339085,2.228431,1.71277,8.05409698,2.159388,1.205213
2022-09-01,Bogotá,CERVEZAS,29,524,866,7565.72,1904,4.118018871,0.1681050753,28,263,342,2921.65,783,3.859593305,0.09023563888,1.066956683,8.73639723,2.198614,1.652672,8.54283626,2.289474,1.30038
2022-09-01,Cali y Bucaramanga,CERVEZAS,31,1227,2699,30969.72,8427,3.874580606,0.1650308978,27,503,712,8444.97,2535,3.641210042,0.06874131747,1.064091487,11.47451649,3.122268,2.199674,11.86091292,3.560393,1.415507
2022-09-01,Cali y Bucaramanga,CERVEZAS,32,4548,7811,57730.41,15482,4.041675737,0.1383180296,29,1005,1235,10074.93,2721,3.790908543,0.0846510211,1.066149629,7.39091154,1.982077,1.717458,8.15783806,2.203239,1.228856
2022-09-01,Costa,CERVEZAS,31,5045,8702,71667.72,17547,4.149554359,0.1512968446,28,952,1146,9020.8,2649,3.597297475,0.08916609362,1.153519938,8.23577568,2.016433,1.724876,7.87155323,2.311518,1.203782
2022-09-01,Costa,CERVEZAS,29,2047,3586,31089.5,8003,3.944801212,0.1450973556,28,648,818,6927.99,1967,3.638693359,0.07189769363,1.084125762,8.66968767,2.231735,1.751832,8.46942543,2.404645,1.262346
2022-09-01,Medellín,CERVEZAS,47,14743,25567,177796.38,45421,3.978434158,0.1398531659,43,3387,4037,27740.03,7526,3.769108337,0.0829726825,1.055537226,6.95413541,1.776548,1.734179,6.87144662,1.864256,1.19191
2022-09-01,Medellín,CERVEZAS,32,456,624,3996.07,1038,3.92470314,0.1547514031,25,131,152,907.11,278,3.352971801,0.06140511205,1.170514807,6.40395833,1.663462,1.368421,5.96782895,1.828947,1.160305
2022-10-01,Bogotá,CERVEZAS,49,34234,60307,529458.33,128359,4.220936221,0.141355391,47,5829,7805,70519.89,18572,3.941570727,0.09917761613,1.070876692,8.77938432,2.128426,1.761611,9.03521973,2.3795,1.338995
2022-10-01,Bogotá,CERVEZAS,30,541,890,7538.4,1832,4.25793389,0.170267305,27,264,311,2816.99,717,3.998975593,0.09178896743,1.064756159,8.47011236,2.058427,1.645102,9.05784566,2.305466,1.17803
2022-10-01,Cali y Bucaramanga,CERVEZAS,33,5092,9250,70279.22,16853,4.195815723,0.1457609383,31,1041,1264,10520.47,2771,3.868325306,0.08375668317,1.084659482,7.59775351,1.821946,1.816575,8.32315665,2.192247,1.214217
2022-10-01,Cali y Bucaramanga,CERVEZAS,25,1521,2896,30407.53,7695,4.058582118,0.1646218664,23,446,560,5062.69,1343,3.964562782,0.0562411253,1.023714932,10.49983771,2.657113,1.904011,9.04051786,2.398214,1.255605
2022-10-01,Costa,CERVEZAS,31,5188,9493,80755.29,18970,4.283250776,0.1516546026,31,932,1102,9929.25,2701,3.791610829,0.1059620258,1.129665192,8.50682503,1.998315,1.8298,9.01020871,2.450998,1.182403
2022-10-01,Costa,CERVEZAS,31,2322,4180,37072.72,9247,4.061894876,0.1413091507,31,657,849,7656.92,2156,3.719320448,0.06734265157,1.092106726,8.86907177,2.212201,1.800172,9.01875147,2.539458,1.292237
2022-10-01,Medellín,CERVEZAS,52,17033,30613,221536.06,53286,4.217663223,0.1375886988,49,2970,3575,25833.44,6860,3.915352687,0.07985560473,1.077211572,7.23666612,1.740633,1.797276,7.22613706,1.918881,1.203704
2022-10-01,Medellín,CERVEZAS,32,522,794,5244.1,1265,4.200867816,0.1473097601,23,115,134,967.19,270,3.645088803,0.04062705383,1.152473381,6.60465995,1.593199,1.521073,7.21783582,2.014925,1.165217
2022-11-01,Bogotá,CERVEZAS,55,35364,63270,636363.87,150372,4.414558999,0.1302772588,52,5828,8011,76198.85,18622,4.341478934,0.08304148978,1.016832988,10.05790849,2.376671,1.789108,9.51177756,2.324554,1.374571
2022-11-01,Bogotá,CERVEZAS,35,508,889,9137.27,2199,4.362579876,0.1688761085,30,258,314,2996.88,743,4.226973893,0.07181239061,1.032081102,10.27814398,2.473566,1.75,9.54420382,2.366242,1.217054
2022-11-01,Cali y Bucaramanga,CERVEZAS,33,4879,8508,64253.84,14973,4.339820168,0.1231252897,32,890,1103,9130.01,2284,4.258335099,0.06749884375,1.019135429,7.55216737,1.759873,1.7438,8.27743427,2.070716,1.239326
2022-11-01,Cali y Bucaramanga,CERVEZAS,31,1590,3573,46795.6,12128,4.010170858,0.1550623549,28,406,569,5878.74,1449,4.28838971,0.0756271815,0.9351227684,13.09700532,3.394346,2.24717,10.33170475,2.546573,1.401478
2022-11-01,Costa,CERVEZAS,32,2402,4153,39213.56,9023,4.524534487,0.1213733975,31,658,904,9215.16,2399,4.078234991,0.06816756531,1.109434473,9.4422249,2.172646,1.728976,10.19376106,2.653761,1.37386
2022-11-01,Costa,CERVEZAS,33,5086,8931,79047.3,17823,4.521884753,0.1315289033,32,942,1149,10556.87,2728,4.042584379,0.09260963421,1.118562862,8.85089016,1.995633,1.755997,9.18787641,2.374238,1.219745
2022-11-01,Expansión - Centro,CERVEZAS,6,16,19,126.74,32,4.076250001,0.1103741497,5,44,64,804.9,209,4.189761904,0.1581645198,0.972907314,6.67052632,1.684211,1.1875,12.5765625,3.265625,1.454545
2022-11-01,Expansión - Centro,CERVEZAS,1,4,5,34.32,8,4.29,0,1,8,10,61.16,13,4.787,0.07982648121,0.8961771464,6.864,1.6,1.25,6.116,1.3,1.25
2022-11-01,Medellín,CERVEZAS,35,542,784,5327.69,1271,4.247995732,0.0928354564,26,123,146,925.77,242,3.85210828,0.04316643612,1.102771631,6.79552296,1.621173,1.446494,6.34089041,1.657534,1.186992
2022-11-01,Medellín,CERVEZAS,46,17195,29777,224360.94,52451,4.331159586,0.1019304703,43,3116,3729,30612.77,7136,4.419000276,0.07371232406,0.9801220446,7.53470598,1.76146,1.731724,8.20937785,1.91365,1.196727
2022-12-01,Bogotá,CERVEZAS,51,43230,81970,927623.44,194184,4.890517603,0.1876449511,48,8272,10385,111841.97,25829,4.522457182,0.1133840607,1.081385054,11.3166212,2.368964,1.896137,10.76956861,2.487145,1.25544
2022-12-01,Bogotá,CERVEZAS,35,671,1188,14776.81,3115,4.897214565,0.2225131697,33,468,607,7183.43,1691,4.389365544,0.1129454605,1.11569987,12.43839226,2.622054,1.770492,11.83431631,2.785832,1.297009
2022-12-01,Cali y Bucaramanga,CERVEZAS,35,7633,13931,131372.17,29031,4.567496224,0.196098745,35,1907,2333,21879.77,5121,4.38622428,0.09083482317,1.041327559,9.43020386,2.083914,1.825102,9.37838405,2.195028,1.223388
2022-12-01,Cali y Bucaramanga,CERVEZAS,32,2977,5795,80758.95,17834,4.604265492,0.2053609842,28,761,1027,11723.88,2781,4.327371915,0.08560691711,1.063986545,13.93597066,3.077481,1.946591,11.41565725,2.707887,1.34954
